Week,Python,JavaScript
2004-01,20,96
2004-02,19,100
2004-03,21,99
2004-04,21,99
2004-05,20,92
2004-06,22,100
2004-07,20,98
2004-08,21,94
2004-09,20,88
2004-10,21,86
2004-11,18,81
2004-12,19,80
2005-01,20,75
2005-02,19,82
2005-03,21,81
2005-04,19,77
2005-05,20,78
2005-06,21,83
2005-07,20,79
2005-08,21,78
2005-09,18,74
2005-10,25,75
2005-11,18,71
2005-12,18,67
2006-01,18,67
2006-02,19,69
2006-03,19,74
2006-04,19,70
2006-05,19,69
2006-06,18,69
2006-07,17,66
2006-08,19,68
2006-09,19,62
2006-10,19,63
2006-11,17,60
2006-12,17,55
2007-01,17,57
2007-02,19,60
2007-03,18,60
2007-04,17,58
2007-05,19,57
2007-06,19,61
2007-07,19,61
2007-08,18,59
2007-09,18,57
2007-10,19,58
2007-11,18,54
2007-12,18,49
2008-01,19,52
2008-02,19,54
2008-03,20,56
2008-04,21,57
2008-05,20,53
