Week,Python,Java,C++
4/21/2019,55,55,18
4/28/2019,52,50,16
5/5/2019,56,56,17
5/12/2019,56,61,18
5/19/2019,57,56,17
5/26/2019,55,57,17
6/2/2019,54,58,15
6/9/2019,58,55,16
6/16/2019,58,56,16
6/23/2019,60,57,16
6/30/2019,57,54,16
7/7/2019,60,58,17
7/14/2019,60,57,17
7/21/2019,56,55,15
7/28/2019,59,53,16
8/4/2019,57,54,16
8/11/2019,54,51,16
8/18/2019,61,58,19
8/25/2019,59,60,19
9/1/2019,62,57,19
9/8/2019,64,58,21
9/15/2019,67,64,22
9/22/2019,65,61,22
9/29/2019,67,55,20
10/6/2019,64,58,21
10/13/2019,68,60,22
10/20/2019,63,58,21
10/27/2019,61,54,21
11/3/2019,64,58,21
11/10/2019,66,57,22
11/17/2019,69,60,22
11/24/2019,65,55,20
12/1/2019,63,59,20
12/8/2019,60,53,19
12/15/2019,60,51,18
12/22/2019,42,39,13
12/29/2019,41,37,12
1/5/2020,57,50,17
1/12/2020,59,53,18
1/19/2020,60,53,18
1/26/2020,63,56,18
2/2/2020,62,55,17
2/9/2020,68,55,20
2/16/2020,71,59,20
2/23/2020,68,57,21
3/1/2020,67,58,20
3/8/2020,62,52,19
3/15/2020,59,48,17
3/22/2020,60,47,18
3/29/2020,64,49,18
4/5/2020,65,48,18
